Product,Positive%,Negative%
high-dome floor door stop,100.0,0.0
mill creek aloe vera & paba lotion,100.0,0.0
reebok classic leather running shoes - white (men),100.0,0.0
"smead174 recycled letter size manila file backs w/prong fasteners, 2 capacity, 100/box",100.0,0.0
plum organics just prunes,100.0,0.0
annie's homegrown deluxe elbows & four cheese sauce,100.0,0.0
charcoal stone toothbrush holder gray,100.0,0.0
germ guardian174 elite 3-in-1 pet pure true hepa air purifier ac4300bptca,100.0,0.0
"bodycology nourishing body cream, pretty in paris",100.0,0.0
bi-o-kleen spray & wipe all purpose cleaner,100.0,0.0
"jergens extra moisturizing liquid hand wash, 7.5oz",100.0,0.0
lite source basic ii 1-lt floor lamp - dark bronze,100.0,0.0
if a man answers (dvd),100.0,0.0
pleasant hearth diamond fireplace screen - espresso,100.0,0.0
wilton black dots standard baking cups,100.0,0.0
citrus magic instant spot & stain remover,100.0,0.0
happy tot apple and butternut squash,100.0,0.0
herr's baked cheese curls,100.0,0.0
every man jack pomade signature mint scent,100.0,0.0
fantasy fields lil' sports fan step stool - teamson,100.0,0.0
ambi complexion cleansing bar,100.0,0.0
chips deluxe soft 'n chewy cookies,100.0,0.0
roommates no place like home peel stick wall decals,100.0,0.0
avery174 11-1/4 x 9-1/4 index maker extra wide label dividers with 5 tab - clear (5 sets per pack),100.0,0.0
sea gull lighting holman one light wall/bath sconce - brushed nickel,100.0,0.0
gain original scent liquid fabric softener 129 oz,100.0,0.0
nature's path chunky chocolate peanut chewy granola bars,100.0,0.0
noosa honey yogurt,100.0,0.0
mrs. meyer's174 lemon verbena laundry scent booster - 18oz,100.0,0.0
naturtint nutrideep multiplier protective cream,100.0,0.0
cantu coconut milk shine hold mist - 8oz,100.0,0.0
craft punch giga scallop circle 45 24687534 to 334,100.0,0.0
disney174 jake and the neverland pirates 4 piece bedding set - toddler,100.0,0.0
greyson vintage industrial occasional cocktail coffee table - antique bronze - baxton studio,100.0,0.0
sea gull lighting six light bath sconce/vanity - brushed nickel,100.0,0.0
walkers stem ginger shortbread,100.0,0.0
weleda everon lip balm,100.0,0.0
romantic drama: greatest classic films collection 2 discs,100.0,0.0
udi's pepperoni pizza,100.0,0.0
cal lighting led dark bronze finish metal piano lamp,100.0,0.0
"colorganics lipstick, cayenne",100.0,0.0
ceiling fan with light white 14.2 x 29.9 x 9.2 - hunter fan,100.0,0.0
"carson-dellosa publishing photographic learning cards boxed set, nouns/verbs/adjectives, grades k-12",100.0,0.0
la tortilla factory hand made style tortillas flour,100.0,0.0
blue anchor design throw pillow (18x18) - rizzy home,100.0,0.0
clorox ultimate care premium bleach,100.0,0.0
"physicians formula powder palette mineral glow pearls, translucent pearl",100.0,0.0
southern enterprises archer fold-away home bar in walnut,100.0,0.0
"cetaphil gentle skin cleanser, 2oz",100.0,0.0
stacy's garden veggie medley pita chips,100.0,0.0
ogx anti-breakage keratin oil 3 minute miraculous recovery,100.0,0.0
"42 dual drop leaf table with 2 madrid chairs""",100.0,0.0
black sister's revenge (dvd),100.0,0.0
sea gull lighting ceiling fan - white,100.0,0.0
pearhead id bracelet frame,100.0,0.0
solo foods almond paste,100.0,0.0
pink friday: roman reloaded re-up (w/dvd),100.0,0.0
yes to carrots nourishing body wash,100.0,0.0
"iman luxury moisturizing lipstick, black brandy 006",100.0,0.0
nature's path flax plus maple pecan crunch cereal,100.0,0.0
lynk professional174 pull out cutting board bakeware sliding cabinet organizer,100.0,0.0
king ralph (dvd),100.0,0.0
"smead174 2 1/4 inch accordion expansion wallet, poly, letter, translucent green",100.0,0.0
progresso traditional chicken rice with vegetables soup,100.0,0.0
moom express pre waxed strips for face & bikini,100.0,0.0
tostitos original restaurant style tortilla chips,100.0,0.0
meguiars interior detailer wipes 25ct,100.0,0.0
various - country's greatest gospel:gold ed (cd),100.0,0.0
"candy pink plastic cups, 20 pk",100.0,0.0
"j.r. watkins hand cream, lemon cream",100.0,0.0
elvis presley - girl happy (cd),100.0,0.0
tramontina ceramica 10 piece cookware set - red,100.0,0.0
kind nut delight bar,100.0,0.0
"pinaud clubman styling gel, superhold",100.0,0.0
lundberg organic cinnamon toast rice cakes,100.0,0.0
sea gull lighting one light wall/bath/vanity-brushed nickel,100.0,0.0
pacific natural foods organic beef broth,100.0,0.0
"the seaweed bath co. argan conditioner, smoothing citrus",100.0,0.0
jnh lifestyles goldstar 3 person far infrared sauna,100.0,0.0
starbucks153 doubleshot protein coffee - 11 fl oz,100.0,0.0
sopranos:season 6 part 1 (blu-ray),97.06,2.94
l'or233al paris elvive extraordinary clay rebalancing conditioner - 12.6 fl oz,96.8,3.2
"pleasant hearth 1,800 sq ft wood burning stove with blower, medium, lws-127201",96.23,3.77
my big fat greek wedding 2 (blu-ray + dvd + digital),95.21,4.79
red (special edition) (dvdvideo),94.64,5.36
stargate (ws) (ultimate edition) (director's cut) (dvdvideo),94.62,5.38
kraus fvs-1007 single hole vessel bathroom faucet from the ramus collection,94.59,5.41
vaseline intensive care healthy hands stronger nails,93.75,6.25
pantene pro-v expert collection age defy conditioner,93.38,6.62
mrs. meyer's lemon verbena surface scrub,93.33,6.67
eagle fat free sweetened condensed milk,93.33,6.67
"iman second to none stick foundation, clay 1",93.33,6.67
meguiar's ultimate quik detailer 22-oz.,93.1,6.9
"avery174 ready index contemporary table of contents divider, 1-8, multi, letter",92.97,7.03
100:complete first season (blu-ray),92.81,7.19
planes: fire rescue (2 discs) (includes digital copy) (blu-ray/dvd),92.74,7.26
jolly time select premium yellow pop corn,92.59,7.41
care free curl gold instant activator,92.31,7.69
clorox disinfecting bathroom cleaner,92.25,7.75
cuisinart174 electric juicer - stainless steel cje-1000,92.23,7.77
"storkcraft tuscany glider and ottoman, beige cushions, espresso finish",92.05,7.95
delta single handle shower faucet,91.67,8.33
"better built 74010862 bet74010862 60in crossover two lid, deep, truck tool box",91.67,8.33
"l'oreal paris colour caresse wet shine stain, pink resistance",91.3,8.7
"ogx conditioner, hydrating teatree mint",91.3,8.7
tresemme kertatin smooth infusing conditioning,91.23,8.77
cars toon: mater's tall tales,91.18,8.82
"aussie aussome volume shampoo, 13.5 oz",91.01,8.99
"physicians formula mineral wear talc-free mineral correcting powder, creamy natural",90.91,9.09
"way basics 3-shelf eco narrow bookcase storage shelf, espresso - formaldehyde free - lifetime guarantee",90.91,9.09
"ben & jerry's coffee, coffee buzzbuzzbuzz! ice cream, pint",90.91,9.09
mia shower curtain green/brown - lush decor174,90.91,9.09
hawaiian punch berry limeade blast juice,90.91,9.09
godzilla 3d includes digital copy ultraviolet 3d/2d blu-ray/dvd,90.8,9.2
head & shoulders classic clean conditioner,90.7,9.3
tostitos simply blue corn tortilla chips,90.48,9.52
jason aldean - they don't know,90.2,9.8
clorox disinfecting wipes value pack scented 150 ct total,90.13,9.87
leslie sansone:belly blasting walk (dvd),90.0,10.0
olay regenerist deep hydration regenerating cream,89.59,10.41
"coty airspun face powder, translucent extra coverage",89.24,10.76
hoover174 platinum collection153 lightweight bagged upright vacuum with canister - uh30010com,89.23,10.77
"pleasant hearth 7.5 steel grate, 30 5 bar - black",88.89,11.11
"pantene color preserve volume shampoo, 25.4oz",88.89,11.11
boraam sonoma kitchen cart with wire brush gray - maaya home,88.89,11.11
vaseline intensive care lip therapy cocoa butter,88.61,11.39
kind dark chocolate chunk gluten free granola bars - 5 count,88.24,11.76
"caress moisturizing body bar natural silk, 4.75oz",88.24,11.76
"lundberg wehani rice, 25lb",87.62,12.38
"burt's bees lip shimmer, watermelon",87.5,12.5
"shea moisture mango & carrot kids extra-nourishing conditioner, 8fl oz",87.5,12.5
concept housewares 36 natural wood ceiling mounted pot rack,87.5,12.5
baxter of california cream pomade,87.5,12.5
kohler 10280-4 fort bath spout with sculpted lift rod and 1/2-in npt connection,87.5,12.5
"banana boat sunless summer color self tanning lotion, light to medium",87.5,12.5
dark shadows (includes digital copy) (ultraviolet) (dvdvideo),87.45,12.55
"burt's bees lip shimmer, raisin",87.06,12.94
doc mcstuffins: friendship is the best medicine,86.96,13.04
there's something about mary (dvd),86.92,13.08
cheetos crunchy flamin' hot cheese flavored snacks,86.67,13.33
"l'oreal paris visible lift smooth absolute, natural buff",86.36,13.64
d-con mice bait station - 3ct,85.71,14.29
"neutrogena wet skin sunscreen spray broad spectrum spf 50, 5oz",85.71,14.29
switchmas (dvd),85.71,14.29
scooby doo and the loch ness monster (blu-ray),85.71,14.29
clear scalp & hair therapy total care nourishing shampoo,85.22,14.78
"bounce dryer sheets, fresh linen, 160 sheets",85.06,14.94
axe dry anti-perspirant deodorant invisible solid phoenix,84.75,15.25
sabre 2 pack door and window alarm,84.62,15.38
the script - no sound without silence (cd),84.62,15.38
stander pt bedcane - bed handle,84.62,15.38
mike dave need wedding dates (dvd + digital),83.88,16.12
head & shoulders dandruff shampoo ocean lift 2 in 1,83.33,16.67
progresso traditional chicken tuscany soup,83.33,16.67
stacy's simply naked bagel chips,83.33,16.67
"creme of nature intensive conditioning treatment, 32",83.33,16.67
4c grated parmesan cheese 100% natural 8oz shaker,83.33,16.67
bedtime originals pinkie musical mobile,83.33,16.67
africa's best no-lye dual conditioning relaxer system super,83.33,16.67
bilbao nightstand gray oak - south shore,83.33,16.67
soothing touch lemon cardamom vegan lip balm .25 oz,83.33,16.67
nearly natural 5.5' bamboo w/decorative planter,83.33,16.67
"weathertech 40647 14-15 outlander cargo liners behind 2nd row, black",83.33,16.67
kendall comforter and sheet set (twin) aqua - 7pc,83.33,16.67
hollywood beauty olive cholesterol,83.33,16.67
"finish quantum dishwasher detergent, lemon sparkle scent, 45 count",82.86,17.14
chex muddy buddies brownie supreme snack mix,82.76,17.24
bisquick original pancake and baking mix - 40oz,82.47,17.53
alex cross (dvdvideo),82.27,17.73
"tree hut shea body butters, coconut lime, 7 oz",82.14,17.86
power crunch protein energy bar peanut butter creme original,82.05,17.95
trend lab park nursing cover - paisley,81.82,18.18
l'oreal paris advanced hairstyle boost it high lift creation spray,81.82,18.18
tostitos bite size tortilla chips,81.44,18.56
sizzix framelits dies 1by tim holtz bird crazy-silver asst sizes,81.25,18.75
the honest company laundry detergent,80.0,20.0
"suave professionals hair conditioner, sleek",80.0,20.0
"kikkoman soy sauce, 5fl oz",80.0,20.0
"2x ultra era with oxi booster, 50fl oz",80.0,20.0
"newman's own balsamic vinaigrette, 16.0oz",80.0,20.0
cerave sa renewing cream,80.0,20.0
yes to grapefruit rejuvenating body wash,79.49,20.51
"lysol concentrate deodorizing cleaner, original scent",79.35,20.65
diet canada dry ginger ale - 12pk/12 fl oz cans,79.07,20.93
windex original glass cleaner refill 67.6oz (2 liter),78.74,21.26
"johnson's baby bubble bath and wash, 15oz",78.57,21.43
the resident evil collection 5 discs (blu-ray),78.46,21.54
chester's cheese flavored puffcorn snacks,77.97,22.03
j.a. henckels international 4-pc everedge plus steak knife set,77.78,22.22
"just for men touch of gray gray hair treatment, black t-55",77.68,22.32
metzeler me888 marathon ultra custom touring front tire 100/90-19,76.92,23.08
"australian gold exotic blend lotion, spf 4",76.47,23.53
chobani174 strawberry on the bottom non-fat greek yogurt - 5.3oz,76.0,24.0
various artists - choo choo soul (cd),75.86,24.14
"pendaflex174 divide it up file folder, multi section, letter, assorted, 12/pack",75.81,24.19
"hormel chili, no beans",75.51,24.49
starbucks iced expresso classics vanilla latte coffee beverage - 40oz,75.0,25.0
voortman sugar free fudge chocolate chip cookies,75.0,25.0
"simple green all-purpose cleaner, 16oz",75.0,25.0
sc johnson one step no buff wax,75.0,25.0
little bedding by nojo jungle dreams 2 pack sheet set,75.0,25.0
"finish gelpacs dishwasher detergent, orange scent, 84ct",75.0,25.0
spam single classic,75.0,25.0
"dermalogica special cleansing gel, 8.4oz",75.0,25.0
"beanitos bean chips, simply pinto bean",75.0,25.0
home health hairever shampoo,75.0,25.0
toy story kids' woody accessory kit,75.0,25.0
"bridgestone 130/70zr18m/c(63w)front exedra g851, cruiser radl",72.73,27.27
orajel maximum strength toothache pain relief liquid,71.74,28.26
annie's homegrown gluten free double chocolate chip granola bars,71.43,28.57
chips ahoy! original chocolate chip - cookies - family size 18.2oz,71.01,28.99
"super poligrip denture adhesive cream, ultra fresh - 2.4 oz",70.83,29.17
ragu traditional pasta sauce,70.27,29.73
equals (blu-ray),69.23,30.77
ragu roasted garlic parmesan pasta sauce,68.18,31.82
"aveeno baby continuous protection lotion sunscreen with broad spectrum spf 55, 4oz",67.41,32.59
queen helene cocoa butter solid,66.67,33.33
"newman's own organics licorice twist, black 5oz",66.67,33.33
olivella bar soap - 3.52 oz,66.67,33.33
maybelline clean express! makeup removing lotion,66.67,33.33
bill glor gaither - church in the wildwood (cd),66.67,33.33
honeywell heatbud ceramic heater black,66.67,33.33
various - red hot blue:tribute to cole porter (cd),66.67,33.33
olay moisturizing lotion for sensitive skin,66.67,33.33
progresso light vegetable & noodle soup,66.67,33.33
alberto vo5 salon series smooth plus sleek shampoo,66.67,33.33
bumble bee solid white albacore in water - 5 oz,66.67,33.33
lay's salt & vinegar flavored potato chips,66.67,33.33
tim holtz retractable craft pick-red 6x.5,66.67,33.33
holmes174 personal indoor heater w/ manual controls white 1500w hfh131-n,65.62,34.38
l'oreal paris advanced hairstyle txt it hyper-fix putty,65.22,34.78
maranatha no stir raw maple almond butter,64.71,35.29
"all,bran complete wheat flakes, 18 oz.",63.64,36.36
post bound jumbo album - burgundy (11x14),62.5,37.5
solo foods poppy seed cake and pastry filling,62.5,37.5
arrid extra dry anti-perspirant deodorant spray regular,61.11,38.89
plano mini-magnum 13-compartment tackle box,60.0,40.0
fiskars174 classic stick rotary cutter (45 mm),60.0,40.0
wagan smartac 80watt inverter with usb,60.0,40.0
heiress (dvd),58.33,41.67
"vicks vaporub, regular, 3.53oz",57.29,42.71
"musselman apple sauce, cinnamon, 48oz",57.14,42.86
meguiar's deep crystal car wash 64-oz.,55.0,45.0
nexxus exxtra gel style creation sculptor,51.95,48.05
k-y love sensuality pleasure gel,51.85,48.15
coola organic sunscreen classic face cucumber spf 30,50.0,50.0
"rc cola, 12oz",50.0,50.0
barielle nail rebuilding protein,50.0,50.0
feit 60-watt a19 gu24 base led light bulb - soft white,50.0,50.0
clambake (dvd),50.0,50.0
tai pei sweet & sour chicken,50.0,50.0
calvin klein secret obsession eau de parfum,50.0,50.0
0.6 cu. ft. letter a4 size waterproof 30 min. fire file chest,50.0,50.0
"batherapy natural mineral bath sport liquid, 16 oz",50.0,50.0
"smead174 3-in-1 supertab section folders, 1/3 cut top tab, letter, assorted, 12/pack",50.0,50.0
black front loading frame set (8.5x11) set of 12,44.44,55.56
cococare 100% natural castor oil,33.33,66.67
2017-2018 brownline174 duraflex 14-month planner 8 1/2 x 11 black,25.0,75.0
sunflower swag with metal frame - nearly natural,0.0,100.0
"wallmount server cabinet (450mm, 9 ru)",0.0,100.0
"heinz tomato ketchup, 38oz",0.0,100.0
scotty mini double ended extender,0.0,100.0
nearly natural pothos ledge plant (set on foam) silk plant,0.0,100.0
"sloan royal urinal flush valve, 1.0 gpf, royal 186-1",0.0,100.0
pocket watch wall clock distressed black - yosemite home decor174,0.0,100.0
lite source reiko 1 light table lamp - orange,0.0,100.0
5302050 15/16 fct/hose adaptor,0.0,100.0
progresso traditional meatball & rice soup,0.0,100.0
kenroy home table lamp - chrome,0.0,100.0
wedding wishes wedding guest book,0.0,100.0
stonyfield yobaby peach & pear yogurt 4oz 6 ct,0.0,100.0
